lambda(nm),E(W m^-2 nm^-1),Urel(%),U(W m^-2 nm^-1)
250,0.0001962,1.6,0.0000031
255,0.0002631,1.5,0.0000039
260,0.0003450,1.5,0.0000052
265,0.0004474,1.5,0.0000067
270,0.0005708,1.5,0.0000086
275,0.0007167,1.5,0.0000108
280,0.0008630,1.5,0.0000129
285,0.001103,1.4,0.000015
290,0.001348,1.4,0.000019
295,0.001633,1.4,0.000023
300,0.001960,1.4,0.000027
305,0.002334,1.4,0.000033
310,0.002774,1.3,0.000036
315,0.003235,1.3,0.000042
320,0.003775,1.3,0.000049
325,0.004378,1.3,0.000057
330,0.005051,1.3,0.000066
335,0.005789,1.3,0.000075
340,0.006606,1.2,0.000079
345,0.007503,1.2,0.000090
350,0.008480,1.2,0.000102
355,0.009539,1.2,0.000114
360,0.01070,1.2,0.00013
365,0.01191,1.1,0.00013
370,0.01323,1.1,0.00015
375,0.01466,1.1,0.00016
380,0.01615,1.1,0.00018
385,0.01781,1.1,0.00020
390,0.01942,1.0,0.00019
395,0.02151,1.0,0.00022
400,0.02303,1.0,0.00023
410,0.02698,1.0,0.00027
420,0.03128,1.0,0.00031
430,0.03596,1.0,0.00036
440,0.04091,1.0,0.00041
450,0.04615,1.0,0.00046
460,0.05183,1.0,0.00052
470,0.05773,1.0,0.00058
480,0.06375,1.0,0.00064
490,0.06998,1.0,0.00070
500,0.07642,1.0,0.00076
510,0.08317,1.0,0.00083
520,0.08968,1.0,0.00090
530,0.09638,1.0,0.00096
540,0.10290,1.0,0.00103
550,0.1098,1.0,0.0011
555,0.1132,1.0,0.0011
560,0.1165,1.0,0.0012
570,0.1232,1.0,0.0012
580,0.1298,1.0,0.0013
590,0.1364,1.0,0.0014
600,0.1426,1.0,0.0014
610,0.1490,1.0,0.0015
620,0.1552,1.0,0.0016
630,0.1611,1.0,0.0016
640,0.1668,1.0,0.0017
650,0.1724,1.0,0.0017
660,0.1776,1.0,0.0018
670,0.1829,1.0,0.0018
680,0.1876,1.0,0.0019
690,0.1922,1.0,0.0019
700,0.1967,1.0,0.0020
710,0.2008,1.0,0.0020
720,0.2048,1.0,0.0020
730,0.2084,1.0,0.0021
740,0.2119,1.0,0.0021
750,0.2150,1.0,0.0022
760,0.2181,1.0,0.0022
770,0.2208,1.0,0.0022
780,0.2232,1.0,0.0022
790,0.2255,1.0,0.0023
800,0.2275,1.0,0.0023
810,0.2293,1.0,0.0023
820,0.2309,1.0,0.0023
830,0.2323,1.0,0.0023
840,0.2334,1.0,0.0023
850,0.2346,1.0,0.0023
860,0.2352,1.0,0.0024
870,0.2360,1.0,0.0024
880,0.2364,1.0,0.0024
890,0.2368,1.0,0.0024
900,0.2369,1.1,0.0026
910,0.2369,1.1,0.0026
920,0.2368,1.1,0.0026
930,0.2365,1.1,0.0026
940,0.2361,1.1,0.0026
950,0.2356,1.1,0.0026
960,0.2349,1.1,0.0026
970,0.2340,1.1,0.0026
980,0.2331,1.1,0.0026
990,0.2321,1.1,0.0026
1000,0.2310,1.1,0.0025
