lambda(nm),E(W m^-2 nm^-1)
,"Spline interp of ""E(W m^-2 nm^-1)"""
250,1.962E-4
251,2.09042214268071E-4
252,2.22018874969124E-4
253,2.35264428536142E-4
254,2.48913321402107E-4
255,2.631E-4
256,2.77944464329822E-4
257,2.93508928659645E-4
258,3.09841160824556E-4
259,3.26988928659645E-4
260,3.45E-4
261,3.6390392841264E-4
262,3.83657410392297E-4
263,4.04198928165635E-4
264,4.25466963959315E-4
265,4.474E-4
266,4.69983822019619E-4
267,4.93393429771167E-4
268,5.17851126512905E-4
269,5.43579215503096E-4
270,5.708E-4
271,5.99572783508885E-4
272,6.29304870523037E-4
273,6.59240565782746E-4
274,6.88624174028303E-4
275,7.167E-4
276,7.43128243944842E-4
277,7.69232688136688E-4
278,7.96753010356113E-4
279,8.27428888383693E-4
280,8.63E-4
281,9.0462864071175E-4
282,9.51167576930214E-4
283,0.0010008921927928
284,0.00105207787243693
285,0.001103
286,0.00115237159320816
287,0.00120065620414246
288,0.00124875501847268
289,0.0012975692218686
290,0.001348
291,0.00140076498645562
292,0.00145584760649996
293,0.00151304773331649
294,0.00157216524008869
295,0.001633
296,0.00169538446096938
297,0.00175928136985771
298,0.00182468604826135
299,0.00189159381777666
300,0.00196
301,0.00202997716966686
302,0.00210190691406921
303,0.00217624807363812
304,0.00225345948880469
305,0.002334
306,0.00241809886036317
307,0.00250506697386546
308,0.00259398565718616
309,0.00268393622700458
310,0.002774
311,0.00286358738888047
312,0.00295342519046897
313,0.00304456929761723
314,0.003138075603177
315,0.003235
316,0.00333613558411497
317,0.00344122426425868
318,0.0035497451523449
319,0.00366117736028742
320,0.003775
321,0.00389082227465966
322,0.00400877375249632
323,0.00412911409300316
324,0.00425210295567333
325,0.004378
326,0.0045069913172464
327,0.00463896872575602
328,0.00477375047564245
329,0.00491115481701926
330,0.005051
331,0.00519317245635475
332,0.00533783134447958
333,0.00548520400442702
334,0.00563551777624965
335,0.005789
336,0.00594583085733458
337,0.00610600189632566
338,0.00626945750664945
339,0.00643614207798216
340,0.006606
341,0.00677899211430691
342,0.00695514507021776
343,0.00713450196897516
344,0.0073171059118217
345,0.007503
346,0.00769220068543778
347,0.00788461782280329
348,0.00808013461744991
349,0.00827863427473102
350,0.00848
351,0.00868422114394198
352,0.00889171163856909
353,0.00910299156122521
354,0.00931858098925422
355,0.009539
