lambda(nm),E(W m^-2 nm^-1),Urel(%),U(W m^-2 nm^-1)
250,0.0001770,1.6,0.0000028
255,0.0002375,1.5,0.0000036
260,0.0003118,1.5,0.0000047
265,0.0004050,1.5,0.0000061
270,0.0005196,1.5,0.0000078
275,0.0006568,1.5,0.0000099
280,0.0008137,1.5,0.0000122
285,0.001009,1.4,0.000014
290,0.001237,1.4,0.000017
295,0.001501,1.4,0.000021
300,0.001804,1.4,0.000025
305,0.002156,1.4,0.000030
310,0.002558,1.3,0.000033
315,0.003003,1.3,0.000039
320,0.003506,1.3,0.000046
325,0.004077,1.3,0.000053
330,0.004713,1.3,0.000061
335,0.005407,1.3,0.000070
340,0.006186,1.2,0.000074
345,0.007023,1.2,0.000084
350,0.007959,1.2,0.000096
355,0.008978,1.2,0.000108
360,0.01007,1.2,0.00012
365,0.01123,1.1,0.00012
370,0.01248,1.1,0.00014
375,0.01385,1.1,0.00015
380,0.01526,1.1,0.00017
385,0.01685,1.1,0.00019
390,0.01841,1,0.00018
395,0.02019,1,0.00020
400,0.02189,1,0.00022
410,0.02567,1,0.00026
420,0.02980,1,0.00030
430,0.03432,1,0.00034
440,0.03913,1,0.00039
450,0.04423,1,0.00044
460,0.04966,1,0.00050
470,0.05542,1,0.00055
480,0.06124,1,0.00061
490,0.06737,1,0.00067
500,0.07367,1,0.00074
510,0.08011,1,0.00080
520,0.08654,1,0.00087
530,0.09312,1,0.00093
540,0.09961,1,0.00100
550,0.1063,1,0.0011
555,0.1096,1,0.0011
560,0.1129,1,0.0011
570,0.1194,1,0.0012
580,0.1260,1,0.0013
590,0.1326,1,0.0013
600,0.1387,1,0.0014
610,0.1450,1,0.0015
620,0.1509,1,0.0015
630,0.1571,1,0.0016
640,0.1626,1,0.0016
650,0.1683,1,0.0017
660,0.1735,1,0.0017
670,0.1786,1,0.0018
680,0.1834,1,0.0018
690,0.1880,1,0.0019
700,0.1925,1,0.0019
710,0.1967,1,0.0020
720,0.2007,1,0.0020
730,0.2044,1,0.0020
740,0.2079,1,0.0021
750,0.2111,1,0.0021
760,0.2143,1,0.0021
770,0.2170,1,0.0022
780,0.2195,1,0.0022
790,0.2219,1,0.0022
800,0.2240,1,0.0022
810,0.2258,1,0.0023
820,0.2275,1,0.0023
830,0.2290,1,0.0023
840,0.2302,1,0.0023
850,0.2314,1,0.0023
860,0.2322,1,0.0023
870,0.2330,1,0.0023
880,0.2336,1,0.0023
890,0.2341,1,0.0023
900,0.2343,1.1,0.0026
910,0.2343,1.1,0.0026
920,0.2343,1.1,0.0026
930,0.2340,1.1,0.0026
940,0.2337,1.1,0.0026
950,0.2333,1.1,0.0026
960,0.2326,1.1,0.0026
970,0.2319,1.1,0.0026
980,0.2309,1.1,0.0025
990,0.2300,1.1,0.0025
1000,0.2289,1.1,0.0025
