lambda(nm),E(W m^-2 nm^-1)
,"Spline interp of ""E(W m^-2 nm^-1)"""
250,1.77E-4
251,1.88590926844578E-4
252,2.00309121978011E-4
253,2.12281853689156E-4
254,2.24636390266867E-4
255,2.375E-4
256,2.50983082888556E-4
257,2.65128565777111E-4
258,2.79962507221389E-4
259,2.95510965777111E-4
260,3.118E-4
261,3.288535416012E-4
262,3.46687014913545E-4
263,3.6531371742529E-4
264,3.8474694662469E-4
265,4.05E-4
266,4.26090750706643E-4
267,4.48055374568708E-4
268,4.70934623077452E-4
269,4.94769247724131E-4
270,5.196E-4
271,5.45441055572228E-4
272,5.72200286811622E-4
273,5.99758990264903E-4
274,6.27998462478789E-4
275,6.568E-4
276,6.86113827004447E-4
277,7.16165878184804E-4
278,7.47251015862939E-4
279,7.79664102360715E-4
280,8.137E-4
281,8.49577236409985E-4
282,8.87209000449161E-4
283,9.26432146283345E-4
284,9.67083528078352E-4
285,0.001009
286,0.00105205962735561
287,0.00109630532001855
288,0.00114182119900368
289,0.00118869138532588
290,0.001237
291,0.00128681465416756
292,0.00133813691947663
293,0.00139095185770192
294,0.00144524453061814
295,0.001501
296,0.00155822575597414
297,0.00161701900207492
298,0.00167749937018863
299,0.00173978649220156
300,0.001804
301,0.00187024232193589
302,0.0019385470722237
303,0.00200893066154358
304,0.00208140950057563
305,0.002156
306,0.00223269295628232
307,0.00231137670903027
308,0.00239191398363707
309,0.00247416750549591
310,0.002558
311,0.00264332985293485
312,0.00273029809165521
313,0.00281910140390815
314,0.00290993647744072
315,0.003003
316,0.00309846763197829
317,0.00319643092434889
318,0.00329696040073035
319,0.0034001265847412
320,0.003506
321,0.00361463961915199
322,0.00372605821094922
323,0.00384025699317046
324,0.00395723718359447
325,0.004077
326,0.00419950989141376
327,0.00432458423185423
328,0.00445200362658781
329,0.00458154868088093
330,0.004713
331,0.00484626481519296
332,0.00498175686163387
333,0.00512001650047829
334,0.00526158409288181
335,0.005407
336,0.00555660684781439
337,0.0057099563216103
338,0.00586640237149901
339,0.00602529894759182
340,0.006186
341,0.0063480917935495
342,0.00651208985192495
343,0.00667874201352565
344,0.0068487961167509
345,0.007023
346,0.00720191397798762
347,0.00738534827068991
348,0.00757292557439839
349,0.00776426858540458
350,0.007959
351,0.00815680429450002
352,0.00835761306531541
353,0.00856141968888079
354,0.00876821754163078
355,0.008978
356,0.0091907488440123
357,0.00940639946804844
358,0.00962487567007844
359,0.00984610124807229
