lambda(nm),
,"Linear interp of ""E(W m^-2 nm^-1)"""
250,1.77E-4
251,1.891E-4
252,2.012E-4
253,2.133E-4
254,2.254E-4
255,2.375E-4
256,2.5236E-4
257,2.6722E-4
258,2.8208E-4
259,2.9694E-4
260,3.118E-4
261,3.3044E-4
262,3.4908E-4
263,3.6772E-4
264,3.8636E-4
265,4.05E-4
266,4.2792E-4
267,4.5084E-4
268,4.7376E-4
269,4.9668E-4
270,5.196E-4
271,5.4704E-4
272,5.7448E-4
273,6.0192E-4
274,6.2936E-4
275,6.568E-4
276,6.8818E-4
277,7.1956E-4
278,7.5094E-4
279,7.8232E-4
280,8.137E-4
281,8.5276E-4
282,8.9182E-4
283,9.3088E-4
284,9.6994E-4
285,0.001009
286,0.0010546
287,0.0011002
288,0.0011458
289,0.0011914
290,0.001237
291,0.0012898
292,0.0013426
293,0.0013954
294,0.0014482
295,0.001501
296,0.0015616
297,0.0016222
298,0.0016828
299,0.0017434
300,0.001804
301,0.0018744
302,0.0019448
303,0.0020152
304,0.0020856
305,0.002156
306,0.0022364
307,0.0023168
308,0.0023972
309,0.0024776
310,0.002558
311,0.002647
312,0.002736
313,0.002825
314,0.002914
315,0.003003
316,0.0031036
317,0.0032042
318,0.0033048
319,0.0034054
320,0.003506
321,0.0036202
322,0.0037344
323,0.0038486
324,0.0039628
325,0.004077
326,0.0042042
327,0.0043314
328,0.0044586
329,0.0045858
330,0.004713
331,0.0048518
332,0.0049906
333,0.0051294
334,0.0052682
335,0.005407
336,0.0055628
337,0.0057186
338,0.0058744
339,0.0060302
340,0.006186
341,0.0063534
342,0.0065208
343,0.0066882
344,0.0068556
345,0.007023
346,0.0072102
347,0.0073974
348,0.0075846
349,0.0077718
350,0.007959
351,0.0081628
352,0.0083666
353,0.0085704
354,0.0087742
355,0.008978
356,0.0091964
357,0.0094148
358,0.0096332
359,0.0098516
360,0.01007
361,0.010302
362,0.010534
363,0.010766
364,0.010998
365,0.01123
366,0.01148
367,0.01173
368,0.01198
369,0.01223
370,0.01248
371,0.012754
372,0.013028
373,0.013302
374,0.013576
375,0.01385
376,0.014132
377,0.014414
378,0.014696
379,0.014978
380,0.01526
381,0.015578
382,0.015896
383,0.016214
384,0.016532
385,0.01685
386,0.017162
387,0.017474
388,0.017786
389,0.018098
390,0.01841
391,0.018766
392,0.019122
393,0.019478
394,0.019834
395,0.02019
396,0.02053
397,0.02087
398,0.02121
